,taxonomy,host-associated,unknown function,tail,DNA,transcription regulation,head and packaging,lysis,moron,integration and excision,auxiliary metabolic gene and host takeover,other,RNA and nucleotide metabolism,connector,vf_amr
3300011583_1|3300011583.a:Ga0121541_100018,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp34,False,45,5,4,5,5,1,0,2,0,1,4,4,0
3300011583_1|3300011583.a:Ga0121541_100039,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp34,False,38,6,6,2,4,1,3,2,3,1,6,4,0
3300011583_1|3300011583.a:Ga0121541_100054,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp34,False,20,2,4,5,5,0,2,2,2,2,4,4,0
3300011584_2|3300011584.a:Ga0122290_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,False,22,8,2,3,5,2,2,2,2,1,2,2,0
3300011584_2|3300011584.a:Ga0122290_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,False,15,15,4,3,5,4,2,2,2,2,4,4,0
3300011584_4|3300011584.a:Ga0122290_100009,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus,False,32,3,2,3,7,2,2,1,2,2,2,2,0
3300011586_2|3300011586.a:Ga0121131_100014,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,65,12,10,4,5,5,2,2,2,2,10,4,0
3300011586_2|3300011586.a:Ga0121131_100030,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,65,12,10,4,5,5,2,2,2,2,10,4,0
3300011586_2|3300011586.a:Ga0121131_100058,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,20,5,3,2,6,4,2,1,2,1,3,1,0
3300011586_2|3300011586.a:Ga0121131_100081,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,26,0,6,2,0,0,3,0,3,3,6,0,0
3300011586_3|3300011586.a:Ga0121131_100004,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_F,False,16,0,1,0,2,0,1,0,1,0,1,0,0
3300011586_3|3300011586.a:Ga0121131_100045,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_F,False,67,4,11,3,6,2,1,2,1,3,11,3,0
3300011587_4|3300011587.a:Ga0121092_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__,False,17,0,2,1,1,0,1,0,1,0,2,0,0
3300011587_4|3300011587.a:Ga0121092_100031,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__,False,50,8,4,3,7,2,0,1,0,0,4,3,0
3300011588_1|3300011588.a:Ga0122094_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri,False,15,0,1,1,2,0,1,1,1,0,1,0,0
3300011589_3|3300011589.a:Ga0122234_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,12,0,0,1,2,0,1,1,1,0,0,0,0
3300011590_3|3300011590.a:Ga0120952_100010,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__GCA_002430835.1,False,54,6,6,1,4,1,1,1,1,0,6,4,0
3300011590_3|3300011590.a:Ga0120952_100026,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__GCA_002430835.1,False,44,12,1,3,5,1,2,1,2,2,1,3,0
3300011591_1|3300011591.a:Ga0122108_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,22,13,4,2,5,4,1,2,1,1,4,4,0
3300011591_1|3300011591.a:Ga0122108_100004,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,43,0,6,2,2,0,0,2,0,1,6,0,0
3300011591_1|3300011591.a:Ga0122108_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,7,2,2,0,0,0,4,1,4,0,2,0,0
3300011591_1|3300011591.a:Ga0122108_100007,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,49,8,8,5,6,3,3,0,3,4,8,1,0
3300011591_1|3300011591.a:Ga0122108_100010,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,15,1,1,1,5,0,0,3,0,0,1,2,0
3300011591_4|3300011591.a:Ga0122108_100018,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,False,21,5,3,2,5,0,0,1,0,2,3,2,0
3300011592_4|3300011592.a:Ga0120812_100013,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus,False,24,0,2,1,2,0,0,0,0,1,2,0,0
3300011593_3|3300011593.a:Ga0122758_100009,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,44,3,5,5,5,0,2,1,2,1,5,4,0
3300011593_3|3300011593.a:Ga0122758_100029,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,49,7,2,0,2,1,0,0,0,1,2,0,0
3300011593_3|3300011593.a:Ga0122758_100054,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,29,4,3,2,5,0,0,0,0,0,3,4,0
3300011593_3|3300011593.a:Ga0122758_100140,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,26,0,3,3,0,0,0,0,0,1,3,0,0
3300011593_3|3300011593.a:Ga0122758_100156,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,4,5,0,0,0,1,0,1,0,0,0,0,0
3300011594_1|3300011594.a:Ga0121728_100004,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A oxytoca,False,28,0,3,2,0,4,1,0,1,1,3,0,0
3300011594_3|3300011594.a:Ga0121728_100127,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp1,False,21,0,1,0,1,1,0,0,0,0,1,0,0
3300011595_2|3300011595.a:Ga0120975_100004,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,26,9,2,1,4,0,0,1,0,0,2,1,0
3300011595_2|3300011595.a:Ga0120975_100010,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,13,0,2,5,3,3,1,0,1,3,2,1,0
3300011595_2|3300011595.a:Ga0120975_100016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,10,0,1,2,1,0,0,0,0,0,1,0,0
3300011595_2|3300011595.a:Ga0120975_100029,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,49,8,9,7,5,3,5,3,5,5,9,1,0
3300011595_2|3300011595.a:Ga0120975_100030,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,26,1,2,0,0,0,0,1,0,1,2,0,0
3300011595_2|3300011595.a:Ga0120975_100047,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,False,34,10,5,5,7,4,0,2,0,1,5,3,0
3300011595_3|3300011595.a:Ga0120975_100011,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp8,False,48,2,3,1,4,1,0,1,0,0,3,1,0
3300011595_3|3300011595.a:Ga0120975_100020,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp8,False,40,12,0,3,5,1,2,1,2,2,0,3,0
3300011595_3|3300011595.a:Ga0120975_100026,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp8,False,12,4,0,0,3,0,0,0,0,0,0,0,0
3300011597_1|3300011597.a:Ga0122081_100054,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium sp3,False,41,0,1,0,0,0,1,1,1,0,1,1,0
3300011597_1|3300011597.a:Ga0122081_100081,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium sp3,False,9,0,1,0,3,0,1,0,1,1,1,0,0
3300011597_1|3300011597.a:Ga0122081_100132,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium sp3,False,7,8,0,0,0,0,0,0,0,0,0,0,0
3300011599_3|3300011599.a:Ga0120848_100017,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp3,False,45,4,5,2,5,1,1,1,1,1,5,4,0
3300011599_3|3300011599.a:Ga0120848_100096,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp3,False,13,0,2,1,1,0,1,1,1,0,2,0,0
3300011600_1|3300011600.a:Ga0122278_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,23,12,2,2,6,2,1,2,1,3,2,3,0
3300011600_1|3300011600.a:Ga0122278_100007,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,14,0,0,0,1,0,3,1,3,0,0,0,0
3300011600_1|3300011600.a:Ga0122278_100056,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,11,0,0,1,0,0,0,2,0,0,0,0,0
3300011601_2|3300011601.a:Ga0120843_100042,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia,False,11,0,2,1,1,0,1,0,1,0,2,0,0
3300011601_2|3300011601.a:Ga0120843_100050,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia,False,43,0,7,2,2,0,0,1,0,1,7,0,0
3300011601_2|3300011601.a:Ga0120843_100065,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia,False,13,9,1,1,0,1,0,0,0,1,1,1,0
3300011601_2|3300011601.a:Ga0120843_100071,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia,False,24,4,0,2,2,2,0,1,0,1,0,0,0
3300011602_2|3300011602.a:Ga0121559_100012,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium variabile,False,42,8,7,2,6,1,0,0,0,2,7,4,0
3300011602_2|3300011602.a:Ga0121559_100023,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium variabile,False,61,10,18,0,5,0,0,1,0,1,18,4,0
3300011602_3|3300011602.a:Ga0121559_100109,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter radioresistens,False,31,0,6,3,5,0,0,1,0,0,6,0,0
3300011602_6|3300011602.a:Ga0121559_100065,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium flavescens,False,38,9,5,1,5,1,0,1,0,1,5,3,0
3300011603_1|3300011603.a:Ga0121020_100010,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,15,5,2,0,6,0,2,0,2,0,2,1,0
3300011603_1|3300011603.a:Ga0121020_100012,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,33,7,5,6,5,5,3,2,3,1,5,4,0
3300011603_1|3300011603.a:Ga0121020_100014,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,33,10,5,3,5,4,5,2,5,0,5,4,0
3300011603_1|3300011603.a:Ga0121020_100015,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,23,2,1,0,0,0,0,0,0,0,1,0,0
3300011603_1|3300011603.a:Ga0121020_100020,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,23,4,1,0,4,0,0,1,0,0,1,1,0
3300011603_1|3300011603.a:Ga0121020_100021,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,35,0,7,5,0,3,3,2,3,2,7,0,0
3300011605_3|3300011605.a:Ga0120982_100048,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii,False,40,11,3,1,6,4,0,1,0,2,3,4,0
3300011606_2|3300011606.a:Ga0121043_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,28,1,6,6,0,5,1,2,1,1,6,0,0
3300011606_2|3300011606.a:Ga0121043_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,38,0,3,3,1,5,0,3,0,0,3,0,0
3300011606_2|3300011606.a:Ga0121043_100021,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,15,6,2,0,4,0,1,2,1,3,2,0,0
3300011607_2|3300011607.a:Ga0122176_100085,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_B,False,12,1,0,0,1,0,0,0,0,0,0,0,0
3300011608_1|3300011608.a:Ga0121236_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri,False,68,3,14,5,5,4,2,0,2,2,14,2,0
3300011608_3|3300011608.a:Ga0121236_100012,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Comamonas;s__Comamonas aquatica,False,37,0,7,2,4,0,0,2,0,0,7,1,0
3300011608_3|3300011608.a:Ga0121236_100065,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Comamonas;s__Comamonas aquatica,False,9,0,2,0,1,0,1,0,1,0,2,0,0
3300011610_1|3300011610.a:Ga0121066_100012,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,61,3,4,4,6,4,2,4,2,6,4,1,0
3300011612_4|3300011612.a:Ga0121037_100093,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,8,0,0,1,2,0,3,1,3,1,0,0,0
3300011612_4|3300011612.a:Ga0121037_100244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp10,False,14,0,0,0,0,0,0,1,0,0,0,0,0
3300011613_3|3300011613.a:Ga0121016_100086,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri,False,45,3,1,6,5,0,3,2,3,1,1,1,0
3300011614_1|3300011614.a:Ga0121078_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B oryzihabitans,False,42,9,7,3,5,1,3,2,3,2,7,4,0
3300011614_1|3300011614.a:Ga0121078_100027,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B oryzihabitans,False,20,9,1,0,5,1,0,0,0,0,1,4,0
3300011614_4|3300011614.a:Ga0121078_100104,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,False,14,7,0,0,0,1,0,1,0,0,0,0,0
3300011615_2|3300011615.a:Ga0121107_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis,False,8,9,0,2,3,2,0,0,0,0,0,0,0
3300011615_2|3300011615.a:Ga0121107_100055,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis,False,23,1,7,5,9,3,0,0,0,2,7,1,0
3300011615_2|3300011615.a:Ga0121107_100144,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis,False,2,6,0,0,2,0,0,0,0,0,0,0,0
3300011616_1|3300011616.a:Ga0120986_100009,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__,False,56,11,6,2,8,2,2,1,2,3,6,3,0
3300011616_1|3300011616.a:Ga0120986_100054,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__,False,4,0,1,0,0,0,3,3,3,1,1,0,0
3300011616_1|3300011616.a:Ga0120986_100061,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__,False,19,0,0,0,0,0,0,0,0,0,0,0,0
3300011616_2|3300011616.a:Ga0120986_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,38,8,6,5,5,0,0,1,0,1,6,4,0
3300011616_2|3300011616.a:Ga0120986_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,31,10,1,2,6,2,0,0,0,1,1,4,0
3300011616_2|3300011616.a:Ga0120986_100090,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis,False,25,2,0,0,4,0,0,1,0,0,0,4,0
3300011617_1|3300011617.a:Ga0120835_100005,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp3,False,45,4,5,2,5,1,1,1,1,1,5,4,0
3300011617_1|3300011617.a:Ga0120835_100020,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp3,False,16,0,2,0,1,0,1,1,1,0,2,0,0
3300011617_3|3300011617.a:Ga0120835_100002,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,False,52,13,2,3,5,1,0,0,0,1,2,3,0
3300011618_1|3300011618.a:Ga0120828_100007,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,12,1,0,2,1,0,0,1,0,0,0,0,0
3300011618_1|3300011618.a:Ga0120828_100009,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,69,15,5,3,9,7,3,4,3,5,5,6,0
3300011618_1|3300011618.a:Ga0120828_100014,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,13,0,1,2,0,0,0,2,0,0,1,0,0
3300011618_1|3300011618.a:Ga0120828_100018,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,29,0,2,5,3,5,0,2,0,1,2,0,0
3300011618_1|3300011618.a:Ga0120828_100019,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,39,6,5,4,6,4,4,1,4,0,5,1,0
3300011618_1|3300011618.a:Ga0120828_100032,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,26,10,4,7,5,5,1,0,1,1,4,3,0
3300011618_1|3300011618.a:Ga0120828_100197,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter steigerwaltii,False,6,0,1,0,0,0,0,2,0,4,1,0,0
3300011618_2|3300011618.a:Ga0120828_100042,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii,False,19,0,0,3,4,2,0,0,0,1,0,0,0
3300011618_2|3300011618.a:Ga0120828_100054,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii,False,14,0,1,0,1,0,1,0,1,0,1,0,0
3300011622_1|3300011622.a:Ga0120838_100009,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri,False,32,11,2,2,6,2,1,2,1,0,2,4,0
3300011624_1|3300011624.a:Ga0121017_100023,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Massilia;s__Massilia timonae,False,28,1,3,3,4,0,0,1,0,1,3,1,0
3300011624_1|3300011624.a:Ga0121017_100025,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Massilia;s__Massilia timonae,False,51,4,3,2,5,1,1,1,1,0,3,4,0
3300011626_1|3300011626.a:Ga0120924_100014,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B luteola,False,60,9,10,3,8,3,1,0,1,4,10,4,0
3300011626_2|3300011626.a:Ga0120924_100046,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__GCA_002389975.1,False,53,15,4,3,0,3,0,1,0,1,4,2,0
3300011626_2|3300011626.a:Ga0120924_100081,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__GCA_002389975.1,False,15,12,2,3,5,3,1,2,1,3,2,4,0
3300011626_3|3300011626.a:Ga0120924_100001,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__GCA_002434505.1,False,18,0,1,0,2,0,0,0,0,0,1,1,0
3300011626_3|3300011626.a:Ga0120924_100006,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__GCA_002434505.1,False,49,5,4,2,6,2,0,1,0,2,4,0,0
